,x,r,Mach Number,Stagnation Temperature (K),Stagnation Pressure (kPa),Static Temperature (K),Heat Transfer Coefficient,Heat Flux (kW/m2),Viscosity (Pa s),Thermal Conductivity (W/m K),Density (kg/m3),Velocity (m/s),Reynold's Number,Skin Friction Coefficient
408,8.90455578433909,1.1324164461653226,1.8620379592503937,3398.732423101843,2007.2518880708587,3356.359674513752,40735.85731551167,126287.07619532246,6.821996392794676e-05,0.16874228687771806,0.01769836155624659,357.50460799769434,20977.270646897465,0.007871775272352931
409,8.926380675967373,1.1382644082520172,1.869425158419857,3398.728013326406,2006.1929780175199,3356.038310481118,40361.84182850682,125125.4075175082,6.829142349718998e-05,0.16899705248579222,0.017696666977151092,358.9057402855848,21086.99145971952,0.00786356641213689
410,8.948205567595656,1.144112370338711,1.876720871236419,3398.7236214499108,2005.1329522202047,3355.7196905699916,39992.93039551684,123979.61683133883,6.836221992862722e-05,0.16924951034137845,0.01769498686803516,360.28931988633184,21196.049722354244,0.007855457756431886
411,8.970030459223937,1.1499603324254046,1.8839275033194676,3398.7192473324053,2004.0719012862157,3355.4037565499334,39629.032539489934,122849.42213321004,6.843236786519145e-05,0.1694997107995308,0.01769332092184487,361.65580969701824,21304.465959295638,0.007847446308638546
412,8.99185535085222,1.1558082945120987,1.8910473581297138,3398.714890835348,2003.0099127711078,3355.0904524294688,39270.059656109435,121734.54727728256,6.850188137509408e-05,0.16974770224219785,0.017691668843332533,363.00565294853084,21412.259760559806,0.007839529212283744
413,9.0136802424805,1.1616562565987922,1.8980826430369238,3398.710551821601,2001.9470713013102,3354.779724328376,38915.92497625835,120634.72185677415,6.857077398510547e-05,0.16999353119270658,0.017690030348383286,364.3392743734265,21519.449838902656,0.007831703742230488
414,9.035505134108783,1.1675042186854871,1.9050354749261202,3398.706230155421,2000.8834586903145,3354.4715203595065,38566.54352857628,119549.68108567949,6.86390587113141e-05,0.17023724242155416,0.017688405163391898,365.6570812849866,21626.054082623396,0.007823967296576712
415,9.057330025737066,1.1733521807721825,1.9119078853847693,3398.701925702453,1999.8191540488694,3354.165790519275,38221.83210220915,118479.16568121705,6.870674808759727e-05,0.1704788790443127,0.017686793024685322,366.95946457564065,21732.089604362984,0.007816317389178476
416,9.079154917365347,1.1792001428588774,1.918701825508897,3398.6976383297188,1998.754233889575,3353.8624865860356,37881.709209834335,117422.92174725015,6.877385419201176e-05,0.1707184826123651,0.017685193677986825,368.2467996420589,21837.572786263678,0.007808751642739937
417,9.10097980899363,1.1850481049455728,1.925419170362064,3398.6933679056083,1997.6887722262516,3353.561562025657,37546.09505103292,116380.70065889464,6.88403886712894e-05,0.17095609319711044,0.017683606877918093,369.51944724344276,21942.51932181577,0.007801267782418767
418,9.122804700621911,1.1908960670322677,1.9320617231176065,3398.6891142998697,1996.6228406684152,3353.262971903676,37214.91147606924,115352.25894849206,6.890636276360355e-05,0.17119174946821286,0.01768203238753597,370.7777542988622,22046.944254684193,0.007793863629900982
419,9.144629592250194,1.1967440291189635,1.9386312189114279,3398.6848773835973,1995.5565085111732,3352.9666728034595,36888.08195012725,114337.35819309395,6.897178731975689e-05,0.1714254887664121,0.01768046997790096,372.0220546288908,22150.862014777464,0.007786537097903977
420,9.166454483878475,1.202591991205659,1.9451293284298905,3398.680657029221,1994.4898428208237,3352.6726227498852,36565.53151804593,113335.76490358173,6.903667282292259e-05,0.17165734717135261,0.017678919427674775,373.2526696462618,22254.28645179463,0.007779286185070728
421,9.188279375506758,1.2084399532923549,1.951557661254907,3398.676453110495,1993.4229085164197,3352.3807811380743,36247.18676958724,112347.25041551965,6.910102940706233e-05,0.17188735956485374,0.017677380522744524,374.469908999797,22357.230866462814,0.007772108971221852
422,9.21010426713504,1.214287915379051,1.9579177689861909,3398.672265502485,1992.3557684475493,3352.091108666774,35932.97580526548,111371.590781825,6.916486687412721e-05,0.17211555968999254,0.01767585305587145,375.67407117544917,22459.708039656656,0.007765003612935519
423,9.231929158763322,1.2201358774657465,1.9642111481586901,3398.6680940815572,1991.2884834685467,3351.803567276013,35622.82820275976,110408.56666731714,6.922819471014217e-05,0.1723419802063416,0.01767433682636218,376.86544405792625,22561.730259572596,0.007757968339428115
424,9.253754050391604,1.225983839552441,1.9704392429715356,3398.6639387253645,1990.2211125093509,3351.5181200886996,35316.67498392687,109457.96324519467,6.929102210026187e-05,0.17256665274166616,0.017672831639760755,378.0443054560393,22663.309347114722,0.007751001448711161
425,9.275578942019886,1.2318318016391345,1.976603447843297,3398.659799312835,1989.1537126431986,3351.23473135585,35014.44858242844,108519.57009547963,6.935335794287929e-05,0.17278960794036138,0.01767133730755982,379.2109235946212,22764.456679633968,0.007744101304002312
426,9.297403833648168,1.2376797637258286,1.982705109806991,3398.6556757241588,1988.0863391513387,3350.9533664051714,34716.08281198147,107593.18110545211,6.941521086285953e-05,0.17301087550888117,0.017669853646929516,380.36555757560296,22865.183213148903,0.007737266330370356
427,9.319228725276451,1.2435277258125224,1.9887455307570614,3398.651567840776,1987.0190455849247,3350.6739915927546,34421.512835239155,106678.59437209433,6.94765892239669e-05,0.1732304842583891,0.01766838048046272,381.50845781059894,22965.499503166146,0.007730495011595875
428,9.341053616904732,1.2493756878992162,1.9947259695594612,3398.6474755453614,1985.951883824251,3350.39657425763,34130.67513330517,105775.61210654915,6.953750114054385e-05,0.17344846214483872,0.017666917635935444,382.63986642714275,23065.415724205384,0.007723785887231085
429,9.362878508533015,1.2552236499859108,2.000647644034983,3398.6433987218143,1984.8849041354688,3350.121082678994,33843.507475882936,104884.04054059609,6.959795448849955e-05,0.1736648363066764,0.017665464946081254,383.76001765052666,23164.941688127477,0.007717137549843605
430,9.384703400161296,1.2610716120726058,2.006511732825104,3398.639337255243,1983.8181552249246,3349.8474860359006,33559.94889205957,104003.68983513991,6.965795691565624e-05,0.17387963310033813,0.017664022248378767,384.8691381630272,23264.086861353004,0.007710548642430489
431,9.406528291789579,1.2669195741593011,2.012319377148821,3398.635291031953,1982.7516842912378,3349.5757543692507,33279.93964172115,103134.3739906993,6.971751585150086e-05,0.17409287813370142,0.017662589384851175,385.96744744214783,23362.860381053084,0.007704017855989821
432,9.42835318341786,1.2727675362459963,2.0180716824582245,3398.6312599394337,1981.6855370752435,3349.3058585459135,33003.421187595864,102275.91075988229,6.977663851638411e-05,0.17430459629763478,0.01766116620187706,387.05515807937087,23461.271070385512,0.0076975439272384955
433,9.450178075046143,1.2786154983326916,2.023769719999924,3398.6272438663445,1980.6197579079071,3349.037770224832,32730.336167919853,101428.12156183014,6.983533193020495e-05,0.17451481179578363,0.01765975255001169,388.1324760807861,23559.327452844882,0.007691125636465539
